Time,Q1,Q2,Q3,Q4,Q5,Q6,dQ1,dQ2,dQ3,dQ4,dQ5,dQ6,TCPx,TCPy,TCPz
8.4,-1.92139544302864,-2.11829671698673,-1.0799317782449,-1.01730352996855,1.74338210012845,-0.306717545227315,-0.0331796286660247,0.385109034807817,-0.693515940934959,0.303322444848889,0.0158155717787799,-0.0296075960646264,0.388731980766881,0.790592003795732,0.243440023765059
8.42,-1.92206258454752,-2.11063133100647,-1.09371812242278,-1.01128490495039,1.74370007282287,-0.307312897261072,-0.0335820041533496,0.38142902802946,-0.685121736503545,0.298536450986535,0.016004286909263,-0.0299700062323378,0.388135980866477,0.787616003003399,0.242720022605719
8.44,-1.92273545396323,-2.10303672093901,-1.10734207025814,-1.00535897900077,1.74402071515274,-0.307913427713773,-0.0335966007291146,0.378116985924559,-0.677434659865753,0.294149508509247,0.0160083733426439,-0.0299863445152246,0.38753998091981,0.784640002360875,0.242000021566856
8.46,-1.92341412395986,-2.09550998643505,-1.12080947079202,-0.999522819576913,1.74434406039083,-0.308519203221376,-0.0345253464682885,0.374437191236767,-0.669087670302171,0.289328398762394,0.0164474662775098,-0.0308188083418717,0.386943981075717,0.781664001739399,0.241280020477934
8.48,-1.92409866761994,-2.0880483929546,-1.13412582530985,-0.99377367805473,1.74467013950791,-0.309130291297537,-0.0333082856476769,0.372090630906475,-0.663234620529698,0.286000312437578,0.0158649693980445,-0.0297359053718661,0.386347981199465,0.778688001240526,0.240560019486445
8.5,-1.92478916060057,-2.08064935717065,-1.14729631930301,-0.988108967940842,1.74499898872694,-0.309746761052267,-0.037896237876948,0.366631733582476,-0.651627582660277,0.279130503673366,0.0180458918211488,-0.0338350534673702,0.385751981385069,0.775712000757764,0.239840018467938
8.52,-1.9256148093009,-2.07338222198788,-1.16019290476574,-0.98260744805453,1.74539211087296,-0.310483969025119,-0.0425257895748378,0.361307227938481,-0.640313712466431,0.272410234006629,0.0202461064046184,-0.037973399021252,0.385155981584487,0.772736000353926,0.239120017499334
8.54,-1.92644768214522,-2.06617241856496,-1.17295478668859,-0.977184716632174,1.74578858940317,-0.311227752514011,-0.0413807465926502,0.359343446658095,-0.635262830055646,0.269484887911731,0.0196963683777258,-0.0369573907060491,0.384559981853164,0.769759999955777,0.238400016503708
8.56,-1.92728782367416,-2.05901776521244,-1.18558623490663,-0.971838711360249,1.74618842987047,-0.31197813343984,-0.0423808813952498,0.356281088655356,-0.628180489208348,0.265294007192536,0.0201675239551488,-0.0378554006524419,0.383963982149521,0.766783999611535,0.237680015539715
8.58,-1.92813532811354,-2.05191623513128,-1.19809128317671,-0.966567446247553,1.74659167825643,-0.31273519774203,-0.0424788531781111,0.353827003984996,-0.622242710757708,0.261778781992635,0.0202092820608616,-0.0379485776605,0.383367982488472,0.763807999299718,0.236960014589392
8.6,-1.92899028924391,-2.04486590175216,-1.21047375364105,-0.961369049690773,1.74699837448577,-0.313499032868884,-0.0429713508378671,0.351247847219136,-0.61608337777455,0.258105426268369,0.0204384375097607,-0.0383940113755074,0.382771982834187,0.760831999053146,0.236240013694453
8.62,-1.92985280249488,-2.03786493099697,-1.22273727394707,-0.956241752413191,1.7474085594504,-0.31426972784641,-0.0433009174739562,0.348852500305255,-0.610276368989556,0.254625458977716,0.0205900675431178,-0.0386941766970154,0.382175983108815,0.757855998932249,0.235520012927363
8.64,-1.93072296677034,-2.03091157447542,-1.23488529241796,-0.951183877025582,1.74782228081831,-0.315047372991059,-0.0437076540894947,0.346501903468017,-0.604561807799177,0.25118076329296,0.0207782324600481,-0.039063384088782,0.381579983388863,0.754879998859375,0.234800012208862
8.66,-1.93160088003669,-2.02400416473184,-1.24692108534901,-0.946193840732523,1.74823957865593,-0.315832060463525,-0.0440882624388412,0.344250249761272,-0.599039596234466,0.24783303853833,0.0209537720289946,-0.0394094641107052,0.380983983640302,0.751903998857697,0.234080011572501
8.68,-1.93248664414742,-2.01714110875509,-1.25884777320684,-0.941270140041596,1.74866050088826,-0.316623883689594,-0.0444873819164281,0.342068934246893,-0.593655607891047,0.244549874923112,0.0211380056796901,-0.0397722257286906,0.380387983830936,0.748927998941162,0.233360011037719
8.7,-1.93338036085455,-2.01032088397125,-1.27066832663081,-0.936411353400028,1.74908509046828,-0.317422937980648,-0.0448858580191632,0.339965292085233,-0.588422614686445,0.241339617114973,0.0213217162484354,-0.0401346166372622,0.379791983964453,0.745951999092693,0.232640010591667
8.72,-1.93428213528309,-2.00354203302151,-1.28238557923063,-0.931616129721306,1.74951339630204,-0.318229319959926,-0.0452921803663125,0.33793161317409,-0.583325495100656,0.238193602095595,0.0215090992854613,-0.0405041533936256,0.379195984155175,0.742975999230994,0.231920010155501
8.74,-1.93519207301543,-1.99680316019672,-1.29400223326986,-0.926883189594857,1.74994546398079,-0.319043128155502,-0.0457025728196313,0.335966707409717,-0.57836119634623,0.235110414520773,0.0216980921604008,-0.040877579472676,0.378599984344203,0.739999999396288,0.231200009765107
8.76,-1.93611028142427,-1.99010292734899,-1.30552086885948,-0.922211318746108,1.75038133989988,-0.319864462808755,-0.0461192335120372,0.334067397242754,-0.573523139402489,0.232086401032466,0.0218899570255309,-0.0412567683586635,0.378599984344203,0.739999999396288,0.231200009765107
8.78,-1.93703687088114,-1.98344005019243,-1.31694395234173,-0.917599362020209,1.75082107489402,-0.320693425587491,-0.0465404346460897,0.332230374030326,-0.568804429220771,0.229118226127199,0.0220838381010278,-0.0416401963884961,0.378091620181144,0.737008328858789,0.230487530464652
8.8,-1.93797195249457,-1.97681329541368,-1.32827384087339,-0.913046224284522,1.75126471716345,-0.321530120160426,-0.0469691808823278,0.330455464022019,-0.564204129937606,0.226204568720918,0.0222810486470379,-0.0420305926393495,0.377583287448896,0.734016662265504,0.229775029707608
8.82,-1.93891563951677,-1.97022147743676,-1.33951278993404,-0.90855086463186,1.75171231652726,-0.322374651918399,-0.0473992673714064,0.328734741954068,-0.559706673053829,0.22333884220853,0.0224787412214757,-0.0424223928387628,0.377074954803958,0.731024995669405,0.229062528956736
8.84,-1.93986804731694,-1.96366345563713,-1.35066295903571,-0.904112293516849,1.75216392425562,-0.323227128004673,-0.0478456380300266,0.327078778842463,-0.55533215037073,0.220528064834052,0.0226839419375729,-0.0428289237845038,0.37656662207829,0.72803332909369,0.228350028265973
8.86,-1.94082934864887,-1.95713819235894,-1.36172638598767,-0.8997295508022,1.75261961707585,-0.324087705763949,-0.0482791249673528,0.325450242259385,-0.551015678477273,0.217749439351393,0.0228827619701117,-0.0432241039632592,0.376058289357288,0.725041662522823,0.227637527597009
8.88,-1.94179955737385,-1.950644514119,-1.37270511308038,-0.895401780240388,1.75307939882775,-0.324956405104639,-0.0487545584017543,0.323943561017122,-0.546900991576393,0.215043416845166,0.0231014880424647,-0.0436573706544543,0.375549956712583,0.72204999594623,0.226925026926456
